Address,Name,Email
Haberdashers Hall 18 West Smithfield London EC1A 9HQ,John Robertson Architects,anja.schellenbauer@jra.co.uk
81 Gracechurch Street London EC3V 0AU,Jessop And Cook Architects,info@jessopandcook.co.uk
120 Fenchurch Street London EC3M 5AL,Design Time Ltd,stuart.evans@designtime.uk.com
The Leadenhall Building 122 Leadenhall Street London EC3V 4AB,Savills,amelia.robson@savills.com
39 St Mary Axe London EC3A 8AA,Honi Poke LTD,design@honipoke.com
Friary Court 65 Crutched Friars London EC3N 2AE,DP9,emma.hardy@dp9.co.uk
Lloyds Chambers 1 Portsoken Street London E1 8BT,Gerald Eve LLP,Pireland@geraldeve.com
15 Trinity Square London EC3N 4AA,S R Signs,planning@sr-signs.co.uk
The Broadgate Tower 20 Primrose Street London EC2A 2EW,DP9 Ltd,oscar.mansfieldjones@dp9.co.uk
The Broadgate Tower 20 Primrose Street London EC2A 2EW,DP9 Ltd,oscar.mansfieldjones@dp9.co.uk
The Broadgate Tower 20 Primrose Street London EC2A 2EW,DP9 Ltd,oscar.mansfieldjones@dp9.co.uk
10 Devonshire Square London EC2M 4YP,DP9 Ltd,marcus.stuart@dp9.co.uk
Devonshire House 3 Bishopsgate Plaza London EC2M 4AJ,DP9 Ltd,elisha.robjant@dp9.co.uk
90 Liverpool Street London EC2M 2AT,Bidwells LLP,jonathan.phillips@bidwells.co.uk
155 Bishopsgate London EC2M 3TQ,DP9 Ltd,tom.green@dp9.co.uk
Peterborough Court 133 Fleet Street London EC4A 2BB,Gerald Eve LLP,mcartwright@geraldeve.com
65 Fleet Street London EC4Y 1HT,McAleer &amp; Rushe Contracts UK Ltd,riordan.osullivan@mcaleer-rushe.co.uk
101 Moorgate London EC2M 6SA,Savills,amreen.kausar@savills.com
60 Chiswell Street London EC1Y 4AG,Savills,kirsty.turner@savills.com
100 New Bridge Street London EC4V 6JA,DP9 Ltd,carol.bowditch@dp9.co.uk
100 Fetter Lane London EC4A 1ES,DP9,jack.playford@dp9.co.uk
Snow Hill Police Station 5 Snow Hill London EC1A 2DP,Daniel Watney LLP,ldavenport@danielwatney.co.uk
187 Fleet Street London EC4A 2HS,Iceni Projects,lnicholson@iceniprojects.com
140 Leadenhall Street London EC3V 4QT,Avison Young,zainab.hussain@avisonyoung.com
140 Leadenhall Street London EC3V 4QT,Avison Young,zainab.hussain@avisonyoung.com
140 Leadenhall Street London EC3V 4QT,Avison Young,hannah.velani@avisonyoung.com
Friary Court 65 Crutched Friars London EC3N 2AE,DP9 Ltd,emma.hardy@dp9.co.uk
Alder Castle House 10 Noble Street London EC2V 7JX,DP9,jake.tubb@dp9.co.uk
102 Seddon House Barbican London EC2Y 8BX,Thomson Brothers (London) Ltd,admin@thomsonbrothers.co.uk
1 Basinghall Avenue London EC2V 5DD,Gerald Eve,ohawe@geraldeve.com
1 Exchange Square London EC2A 2JN,DP9,eleanor.hulm@DP9.co.uk
7 Devonshire Square London EC2M 4YH,DP9,Jake.Geczy@DP9.co.uk
Winchester House 75 London Wall London EC2M 5NG,DP9,ted.rainford@dp9.co.uk
120 Cannon Street London EC4N 6AS,City of London Corporation,ben.deloughry@cityoflondon.gov.uk
10 Gresham Street London EC2V 7JD,Nexus Planning Ltd,a.djelladj@nexusplanning.co.uk
10 Gresham Street London EC2V 7JD,Nexus Planning Ltd,a.djelladj@nexusplanning.co.uk
10 Gresham Street London EC2V 7JD,Nexus Planning Ltd,g.goff@nexusplanning.co.uk
10 Gresham Street London EC2V 7JD,Nexus Planning Ltd,g.goff@nexusplanning.co.uk
London Metropolitan University 84 Moorgate London EC2M 6SQ,Rolfe Judd Planning Ltd,benc@rolfe-judd.co.uk
25 Moorgate London EC2R 6AR,PJMA LLP,george.pace@pjma.eu
25 Moorgate London EC2R 6AR,PJMA LLP,george.pace@pjma.eu
100 New Bridge Street London EC4V 6JA,DP9,nathan.hall@dp9.co.uk
150 Aldersgate Street London EC1A 4AB,Gerald Eve LLP,hhowat@geraldeve.com
160 Queen Victoria Street London EC4V 4BF,CBRE Planning &amp; Development Team,Andy.Tuohy@cbre.com
160 Queen Victoria Street London EC4V 4BF,CBRE Planning &amp; Development Team,Andy.Tuohy@cbre.com
Alpha House 24A Lime Street London EC3M 7HJ,TPM Studio,info@tpm-studio.co.uk
Alpha House 24A Lime Street London EC3M 7HJ,TPM Studio,nfo@tpm-studio.co.uk
25 St Mary Axe London EC3A 8AA,Technical Signs Ltd,natalie_long@technicalsigns.co.uk
22 Bishopsgate London EC2N 4BQ,DP9,rebecca.neil@dp9.co.uk
60 Upper Thames Street London EC4V 3AD,Gerald Eve,amurray@geraldeve.com
1 Aldermanbury Square London EC2V 7HR,Two Windsor Dials,hasaansharif@area.co.uk
1 Exchange Square London EC2A 2JN,DP9,eleanor.hulm@DP9.co.uk
5 Devonshire Square London EC2M 4YE,DP9 Ltd,Jake.Geczy@DP9.co.uk
7 Devonshire Square London EC2M 4YH,DP9,Jake.Geczy@DP9.co.uk
1 New Change London EC4M 9AF,Gerald Eve LLP,nicolamiller@geraldeve.com
81 Newgate Street London EC1A 7AJ,Montagu Evans LLP,Peter.Bovill@Montagu-Evans.co.uk
81 Newgate Street London EC1A 7AJ,Montagu Evans LLP,Peter.Bovill@Montagu-Evans.co.uk
21 Moorfields London EC2Y 9AE,Avison Young,matthew.pigott@avisonyoung.com
60 Queen Victoria Street London EC4N 4TZ,DP9 Limited,zoe.smythe@dp9.co.uk
Stonecutter Court 1 Stonecutter Street London EC4A 4TR,Montagu Evans,Peter.Bovill@Montagu-Evans.co.uk
5 Chancery Lane London WC2A 1LG,Rapleys LLP,annie.taylor@rapleys.com
Snow Hill Police Station 5 Snow Hill London EC1A 2DP,Daniel Watney LLP,gducker@danielwatney.co.uk
City Place House 55 Basinghall Street London EC2V 5DX,DP9,mike.moon@dp9.co.uk
City Place House 55 Basinghall Street London EC2V 5DX,DP9 Ltd,mike.moon@dp9.co.uk
1 Exchange Square London EC2A 2JN,DP9,eleanor.hulm@DP9.co.uk
199 Bishopsgate London EC2M 3TY,DP9,esme.omeara@dp9.co.uk
100 Liverpool Street London EC2M 2AT,SKK Design Ltd,jack@senkenken.com
7 Devonshire Square London EC2M 4YH,DP9 Ltd,heloise.whiteman@dp9.co.uk
Adelaide House London Bridge London EC4R 9HA,Rolfe Judd Planning,benc@rolfe-judd.co.uk
Adelaide House London Bridge London EC4R 9HA,Rolfe Judd Planning,benc@rolfe-judd.co.uk
6 St Andrew Street London EC4A 3AE,DP9,charlotte.allen@dp9.co.uk
5 New Street Square London EC4A 3BF,Avison Young,smruti.patel@avisonyoung.com
5 New Street Square London EC4A 3BF,Avison Young,smruti.patel@avisonyoung.com
81 Newgate Street London EC1A 7AJ,Montagu Evans,nadine.james@montagu-evans.co.uk
81 Newgate Street London EC1A 7AJ,Montagu Evans LLP,Peter.Bovill@Montagu-Evans.co.uk
20 King Street London EC2V 8EG,AZ Urban Studio Ltd,chris@azurbanstudio.co.uk
30 Coleman Street London EC2R 5AL,Lichfields,rosie.williams@lichfields.uk
25 Moorgate London EC2R 6AR,PJMA LLP,george.pace@pjma.eu
150 Aldersgate Street London EC1A 4AB,Gerald Eve LLP,hhowat@geraldeve.com
100 New Bridge Street London EC4V 6JA,DP9,carol.bowditch@dp9.co.uk
150 Aldersgate Street London EC1A 4AB,Gerald Eve LLP,hhowat@geraldeve.com
150 Aldersgate Street London EC1A 4AB,Gerald Eve LLP,hhowat@geraldeve.com
Snow Hill Police Station 5 Snow Hill London EC1A 2DP,Daniel Watney,ndelaney@danielwatney.co.uk
37 Fleet Street London EC4Y 1BT,Adam Architecture,annabel.clark@adamarchitecture.com
Snow Hill Police Station 5 Snow Hill London EC1A 2DP,Daniel Watney LLP,ndelaney@danielwatney.co.uk
Friary Court 65 Crutched Friars London EC3N 2AE,DP9 Ltd,emily.keenan@dp9.co.uk
122 Defoe House Barbican London EC2Y 8ND,Thomson Brothers (London) Ltd,admin@thomsonbrothers.co.uk
City Place House 55 Basinghall Street London EC2V 5DX,DP9,mike.moon@dp9.co.uk
9 Devonshire Square London EC2M 4YF,SEAM Architects Ltd,mark@seamarchitects.com
199 Bishopsgate London EC2M 3TY,DP9,esme.omeara@dp9.co.uk
1 Exchange Square London EC2A 2JN,DP9,eleanor.hulm@DP9.co.uk
9 Devonshire Square London EC2M 4YF,SEAM Architects Ltd,mark@seamarchitects.com
Peterborough Court 133 Fleet Street London EC4A 2BB,Gerald Eve LLP,mcartwright@geraldeve.com
Peterborough Court 133 Fleet Street London EC4A 2BB,Gerald Eve LLP,mcartwright@geraldeve.com
81 Newgate Street London EC1A 7AJ,Montagu Evans LLP,Peter.Bovill@Montagu-Evans.co.uk
101 Moorgate London EC2M 6SL,Savills,amreen.kausar@savills.com
25 Moorgate London EC2R 6AR,DP9,hugh.sowerby@dp9.co.uk
94 Moorgate London EC2M 6UR,Lewis Hickey Ltd,kieran.leadbetter@lewishickey.com
94 Moorgate London EC2M 6UR,Lewis Hickey Ltd,kieran.leadbetter@lewishickey.com
Calico House 42 Bow Lane London EC4M 9DT,Daniel Watney LLP,cgoodrum@danielwatney.co.uk
Royal Exchange Cornhill London EC3V 3DG,TMD Building Consultancy Ltd,neil.sennett@tmdbc.co.uk
323 Cromwell Tower Barbican London EC2Y 8NB,SAM Architects,m.schubert@samarchitects.co.uk
7 The Postern Barbican London EC2Y 8BJ,Quinn Architects,admin@quinnuk.com
160 Queen Victoria Street London EC4V 4BF,CBRE Ltd,Grace.Collins1@cbre.com
160 Queen Victoria Street London EC4V 4BF,CBRE Ltd,Grace.Collins1@cbre.com
100 New Bridge Street London EC4V 6JA,DP9,carol.bowditch@dp9.co.uk
150 Aldersgate Street London EC1A 4AB,Gerald Eve LLP,hhowat@geraldeve.com
150 Aldersgate Street London EC1A 4AB,Gerald Eve LLP,hhowat@geraldeve.com
37 Fleet Street London EC4Y 1BT,ADAM Architecture,annabel.clark@adamarchitecture.com
5 Chancery Lane London WC2A 1LG,Rapleys,annie.taylor@rapleys.com
10 Fenchurch Avenue London EC3M 5AG,TP Bennett LLP,mike.ibbott@tpbennett.com
55 Mark Lane London EC3R 7NE,Directive Planning,info@directiveplanning.co.uk
191 Shakespeare Tower Barbican London EC2Y 8DR,Thomson Brothers (London) Ltd,admin@thomsonbrothers.co.uk
232 Shakespeare Tower Barbican London EC2Y 8DR,Thomson Brothers (London) Ltd,admin@thomsonbrothers.co.uk
65 Fenchurch Street London EC3M 4BE,Beamish Planning Consultancy,adam@beamishplanningconsultancy.co.uk
The Baltic Exchange 38 St Mary Axe London EC3A 8EX,SM Planning,info@smplanning.com
Woolgate Exchange 25 Basinghall Street London EC2V 5HA,Gerald Eve LLP,nicolamiller@geraldeve.com
City Place House 55 Basinghall Street London EC2V 5DX,DP9 Ltd,mike.moon@dp9.co.uk
5 Aldermanbury Square London EC2V 7HR,Savills,crmoore@savills.com
City Place House 55 Basinghall Street London EC2V 5DX,DP9,mike.moon@dp9.co.uk
3 Appold Street London EC2A 2AF,Pringle Design Limited,pringledesign@outlook.com
7 Devonshire Square London EC2M 4YH,DP9,heloise.whiteman@dp9.co.uk
10 Devonshire Square London EC2M 4YP,DP9,marcus.stuart@dp9.co.uk
155 Bishopsgate London EC2M 3TQ,DP9 Ltd,zoe.smythe@dp9.co.uk
Adelaide House London Bridge London EC4R 9HA,Rolfe Judd Planning,benc@rolfe-judd.co.uk
Adelaide House London Bridge London EC4R 9HA,Rolfe Judd Planning,benc@rolfe-judd.co.uk
Adelaide House London Bridge London EC4R 9HA,Rolfe Judd Planning,benc@rolfe-judd.co.uk
Adelaide House London Bridge London EC4R 9HA,Rolfe Judd Planning,benc@rolfe-judd.co.uk
Warnford Court 29 Throgmorton Street London EC2N 2AT,DP9 Limited,josh.thomas@dp9.co.uk
41 Lothbury London EC2R 7HF,Gerald Eve LLP,hdavies@geraldeve.com
41 Lothbury London EC2R 7HF,Gerald Eve LLP,hdavies@geraldeve.com
26 Copthall Avenue London EC2R 7DN,Path Design,guy@pathdesign.co.uk
28 Tudor Street London EC4Y 0AY,T P Bennett LLP,mike.ibbott@tpbennett.com
150 Cheapside London EC2V 6ET,Rolfe Judd Planning,johno@rolfe-judd.co.uk
London Metropolitan University 84 Moorgate London EC2M 6SQ,Broadgrove Planning &amp; Development,ja@broadgrove.co.uk
601 Willoughby House Barbican London EC2Y 8BN,Blair Associates Architecture Ltd,g.muncaster@blairaarch.com
343 Crescent House Golden Lane Estate London EC1Y 0SN,Lawrence King Architecture And Design,stuart@lawrenceking.com
371 Cromwell Tower Barbican London EC2Y 8NB,Blair Associates Architecture Ltd,g.muncaster@blairaarch.com
100 New Bridge Street London EC4V 6JA,DP9,carol.bowditch@dp9.co.uk
20 Giltspur Street London EC1A 9DD,DP9,amelia.johnson@dp9.co.uk
Exchequer Court 33 St Mary Axe London EC3A 8AA,DP9,emily.keenan@dp9.co.uk
192 Shakespeare Tower Barbican London EC2Y 8DR,Thomson Brothers (London) Ltd,admin@thomsonbrothers.co.uk
The Baltic Exchange 38 St Mary Axe London EC3A 8EX,SM Planning,info@smplanning.com
The Baltic Exchange 38 St Mary Axe London EC3A 8EX,S M Planning,info@smplanning.com
Woolgate Exchange 25 Basinghall Street London EC2V 5HA,Gerald Eve LLP,nicolamiller@geraldeve.com
Woolgate Exchange 25 Basinghall Street London EC2V 5HA,Gerald Eve LLP,nicolamiller@geraldeve.com
100 Liverpool Street London EC2M 2AT,DP9,esme.omeara@dp9.co.uk
10 Devonshire Square London EC2M 4YP,Pringle Richards Sharratt Architects,j.ricketts@prsarchitects.com
10 Devonshire Square London EC2M 4YP,Pringle Richards Sharratt Architects,j.ricketts@prsarchitects.com
7 Devonshire Square London EC2M 4YH,DP9,heloise.whiteman@dp9.co.uk
7 Devonshire Square London EC2M 4YH,DP9,heloise.whiteman@dp9.co.uk
Adelaide House London Bridge London EC4R 9HA,Rolfe Judd Planning,benc@rolfe-judd.co.uk
Adelaide House London Bridge London EC4R 9HA,Rolfe Judd Planning,benc@rolfe-judd.co.uk
Adelaide House London Bridge London EC4R 9HA,Rolfe Judd Planning,benc@rolfe-judd.co.uk
33 Holborn London EC1N 2HT,DP9,louise.overton@dp9.co.uk
102 Cheapside London EC2V 6DT,Sea Design Group,joe.james@seadesigngroup.com
30 Gresham Street London EC2V 7PG,TP Bennett,donald.considine@tpbennett.com
343 Crescent House Golden Lane Estate London EC1Y 0SN,Lawrence King Architecture And Design,stuart@lawrenceking.com
20 Giltspur Street London EC1A 9DD,DP9,amelia.johnson@dp9.co.uk
20 Giltspur Street London EC1A 9DD,DP9,amelia.johnson@dp9.co.uk
187 Fleet Street London EC4A 2HS,Iceni Projects,lnicholson@iceniprojects.com
187 Fleet Street London EC4A 2HS,Iceni Projects,lnicholson@iceniprojects.com
Leadenhall Court 1 Leadenhall Street London EC3V 1PP,DP9,jack.playford@dp9.co.uk
Exchequer Court 33 St Mary Axe London EC3A 8AA,Luken Beck MDP Ltd.,clarewhitehead@lukenbeck.com
Friary Court 65 Crutched Friars London EC3N 2AE,DP9,emma.hardy@dp9.co.uk
Friary Court 65 Crutched Friars London EC3N 2AE,DP9,emily.keenan@dp9.co.uk
The Baltic Exchange 38 St Mary Axe London EC3A 8EX,S M Planning,info@smplanning.com
100 Bishopsgate London EC2N 4AG,West Green Planning Ltd,ben@westgreenplanning.co.uk
10 Devonshire Square London EC2M 4YP,Pringle Richards Sharratt Architects,j.ricketts@prsarchitects.com
10 Devonshire Square London EC2M 4YP,PRS Architects,j.ricketts@prsarchitects.com
5 Broadgate London EC2M 2QS,Waldon Telecom Ltd,fiona.kadama@waldontelecom.com
1 New Change London EC4M 9AF,Gerald Eve LLP,nicolamiller@geraldeve.com
Allianz House 60 Gracechurch Street London EC3V 0HR,DP9 Ltd,Peter.Twemlow@dp9.co.uk
41 Lothbury London EC2R 7HF,Gerald Eve LLP,hdavies@geraldeve.com
41 Lothbury London EC2R 7HF,Gerald Eve,bgibbs@geraldeve.com
41 Lothbury London EC2R 7HF,Gerald Eve,bgibbs@geraldeve.com
26 Copthall Avenue London EC2R 7DN,Path Design,guy@pathdesign.co.uk
54 King William Street London EC4R 9AD,Lichfields,henry.gomm@lichfields.uk
54 King William Street London EC4R 9AD,Lichfields,henry.gomm@lichfields.uk
6 St Andrew Street London EC4A 3AE,DP9,charlotte.allen@dp9.co.uk
81 Newgate Street London EC1A 7AJ,Montagu Evans LLP,Peter.Bovill@Montagu-Evans.co.uk
10 Gresham Street London EC2V 7JD,Nexus Planning Ltd,g.goff@nexusplanning.co.uk
81 Newgate Street London EC1A 7AJ,Montagu Evans LLP,Peter.Bovill@Montagu-Evans.co.uk
81 Newgate Street London EC1A 7AJ,Montagu Evans LLP,Peter.Bovill@Montagu-Evans.co.uk
25 Moorgate London EC2R 6AR,PJMA LLP,Luke.robinson@pjma.eu
London Metropolitan University 84 Moorgate London EC2M 6SQ,Broadgrove Planning &amp; Development,ja@broadgrove.co.uk
London Metropolitan University 84 Moorgate London EC2M 6SQ,Broadgrove Planning &amp; Development,ja@broadgrove.co.uk
101 Moorgate London EC2M 6SL,Savills,amreen.kausar@savills.com
94 Moorgate London EC2M 6UR,Lewis &amp; Hickey,carol.leitch@lewishickey.com
94 Moorgate London EC2M 6UR,Lewis &amp; Hickey,carol.leitch@lewishickey.com
202 Cromwell Tower Barbican London EC2Y 8DD,Blair Associates,g.muncaster@blairaarch.com
610 Gilbert House Barbican London EC2Y 8BD,Thomson Brothers (London) Ltd,admin@thomsonbrothers.co.uk
609 Gilbert House Barbican London EC2Y 8BD,Thomson Brothers,admin@thomsonbrothers.co.uk
20 Giltspur Street London EC1A 9DD,DP9,amelia.johnson@dp9.co.uk
100 New Bridge Street London EC4V 6JA,DP9 Ltd,carol.bowditch@dp9.co.uk
20 Giltspur Street London EC1A 9DD,DP9 Ltd,amelia.johnson@dp9.co.uk
37 Fleet Street London EC4Y 1BT,Adam Architecture,gemma.mankelow@adamarchitecture.com
37 Fleet Street London EC4Y 1BT,Adam Architecture,gemma.mankelow@adamarchitecture.com
Exchequer Court 33 St Mary Axe London EC3A 8AA,Luken Beck MDP Ltd.,clarewhitehead@lukenbeck.com
147 Leadenhall Street London EC3V 4QT,Gerald Eve LLP,fplowden@geraldeve.com
10 Trinity Square London EC3N 4AJ,Knights Plc,michael.askew@knightsplc.com
Friary Court 65 Crutched Friars London EC3N 2AE,DP9,emily.keenan@dp9.co.uk
108 Bryer Court Barbican London EC2Y 8DE,Linedota Architects,fcheng@linedotaarchitects.co.uk
103 Defoe House Barbican London EC2Y 8ND,Thomson Brothers London Ltd,admin@thomsonbrothers.co.uk
5 Thomas More House Barbican London EC2Y 8BT,Thomson Brothers London Ltd,admin@thomsonbrothers.co.uk
The Baltic Exchange 38 St Mary Axe London EC3A 8EX,SM Planning,info@smplanning.com
The Baltic Exchange 38 St Mary Axe London EC3A 8EX,SM Planning,info@smplanning.com
The Baltic Exchange 38 St Mary Axe London EC3A 8EX,SM Planning,info@smplanning.com
The Baltic Exchange 38 St Mary Axe London EC3A 8EX,SM Planning,info@smplanning.com
30 St Mary Axe London EC3A 8BF,DP9 Ltd,liam.lawsonjones@dp9.co.uk
30 St Mary Axe London EC3A 8BF,DP9 Ltd,liam.lawsonjones@dp9.co.uk
30 St Mary Axe London EC3A 8BF,DP9 Ltd,liam.lawsonjones@dp9.co.uk
Wood Street Police Station 37 Wood Street London EC2P 2NQ,DP9 Ltd,desiree.coker@dp9.co.uk
City Place House 55 Basinghall Street London EC2V 5DX,DP9,mike.moon@dp9.co.uk
City Place House 55 Basinghall Street London EC2V 5DX,DP9,mike.moon@dp9.co.uk
City Place House 55 Basinghall Street London EC2V 5DX,DP9,mike.moon@dp9.co.uk
City Place House 55 Basinghall Street London EC2V 5DX,DP9,mike.moon@dp9.co.uk
City Place House 55 Basinghall Street London EC2V 5DX,DP9,mike.moon@dp9.co.uk
Woolgate Exchange 25 Basinghall Street London EC2V 5HA,Gerald Eve LLP,nicolamiller@geraldeve.com
100 Liverpool Street London EC2M 2AT,DP9 Ltd,esme.omeara@dp9.co.uk
155 Bishopsgate London EC2M 3TQ,DP9 Limited,zoe.smythe@dp9.co.uk
25 Cannon Street London EC4M 5SB,Gerald Eve LLP,sthomson@geraldeve.com
Winchester House 75 London Wall London EC2M 5NG,DP9 Limited,james.byrne@dp9.co.uk
6 St Andrew Street London EC4A 3AE,DP9 Ltd,charlotte.allen@dp9.co.uk
6 St Andrew Street London EC4A 3AE,DP9 Ltd,charlotte.allen@dp9.co.uk
65 Fleet Street London EC4Y 1HT,DP9 Ltd,charlotte.allen@dp9.co.uk
65 Fleet Street London EC4Y 1HT,DP9,charlotte.allen@dp9.co.uk
6 St Andrew Street London EC4A 3AE,Optimus Planning,optimusplanning@outlook.com
81 Newgate Street London EC1A 7AJ,Montagu Evans LLP,Peter.Bovill@Montagu-Evans.co.uk
20 King Street London EC2V 8EG,AZ Urban Studio,chris@azurbanstudio.co.uk
101 Moorgate London EC2M 6SL,Savills,kirsty.turner@savills.com
Stonecutter Court 1 Stonecutter Street London EC4A 4TR,Montagu Evans,Peter.Bovill@Montagu-Evans.co.uk
100 New Bridge Street London EC4V 6JA,DP9 LTD,carol.bowditch@dp9.co.uk
38 Chancery Lane London WC2A 1EN,Tatehindle,sarah.brown@tatehindle.co.uk
55 Fleet Street London EC4Y 1JU,Barry Cunningham,colneside@gmail.com
187 Fleet Street London EC4A 2HS,Iceni Projects,lnicholson@iceniprojects.com
187 Fleet Street London EC4A 2HS,Iceni Projects,lnicholson@iceniprojects.com
187 Fleet Street London EC4A 2HS,Iceni Projects,lnicholson@iceniprojects.com
187 Fleet Street London EC4A 2HS,Iceni Projects,lnicholson@iceniprojects.com
147 Leadenhall Street London EC3V 4QT,Gerald Eve Ltd,FPlowden@geraldeve.com
147 Leadenhall Street London EC3V 4QT,Gerald Eve Ltd,FPlowden@geraldeve.com
147 Leadenhall Street London EC3V 4QT,Gerald Eve LLP,mzhu@geraldeve.com
1 Undershaft London EC3A 8EE,DP9 Ltd,louise.overton@dp9.co.uk
121 Lauderdale Tower Barbican London EC2Y 8BY,Thomson Brothers Ltd,andrew@thomsonbrothers.co.uk
The Baltic Exchange 38 St Mary Axe London EC3A 8EX,SM Planning,info@smplanning.com
The Baltic Exchange 38 St Mary Axe London EC3A 8EX,SM Planning,info@smplanning.com
The Baltic Exchange 38 St Mary Axe London EC3A 8EX,SM Planning,info@smplanning.com
Woolgate Exchange 25 Basinghall Street London EC2V 5HA,Gerald Eve LLP,nicolamiller@geraldeve.com
City Place House 55 Basinghall Street London EC2V 5DX,DP9 Ltd,mike.moon@dp9.co.uk
1 Exchange Square London EC2A 2JN,DP9 Ltd,eleanor.hulm@DP9.co.uk
1 Exchange Square London EC2A 2JN,DP9 Ltd,eleanor.hulm@DP9.co.uk
Winchester House 75 London Wall London EC2M 5NG,DP9 Limited,james.byrne@dp9.co.uk
65 Fleet Street London EC4Y 1HT,DP9 Ltd,charlotte.allen@dp9.co.uk
65 Fleet Street London EC4Y 1HT,DP9 Ltd,charlotte.allen@dp9.co.uk
81 Newgate Street London EC1A 7AJ,Montagu Evans LLP,Peter.Bovill@Montagu-Evans.co.uk
81 Newgate Street London EC1A 7AJ,Montagu Evans LLP,Peter.Bovill@Montagu-Evans.co.uk
London Metropolitan University 84 Moorgate London EC2M 6SQ,Broadgrove Planning &amp; Development,ja@broadgrove.co.uk
94 Moorgate London EC2M 6UR,Lewis &amp; Hickey Ltd,carol.leitch@lewishickey.com
94 Moorgate London EC2M 6UR,Lewis &amp; Hickey Ltd,carol.leitch@lewishickey.com
